,symbol,price,change,eps,pe
0,AIR,18.33,-1.25,1.249,14.675741
0,ABT,89.85,-2.24,1.991,45.128075
0,ACU,22.33,0.62,1.715,13.020408
0,AE,27.5,-0.435,1.94,14.175258
0,AMD,49.88,-2.51,0.426,117.0892
0,APD,222.25,-3.33,8.754,25.388395
0,AKRX,0.25,0.04,-1.8,
0,CECE,5.2,-0.22,0.5,10.4
0,MATX,29.41,-0.83,1.91,15.397906
0,ALCO,29.61,0.3,5.487,5.3963914
0,LNG,43.25,-3.44,3.456,12.514467
0,SWKS,98.83,-5.05,4.777,20.688717
0,IDSA,1.125,0.015,-0.484,
0,AA,7.69,-0.46,-4.567,
0,ARNC,8.55,-0.17,2.064,4.142442
0,HES,44.28,-4.36,-1.37,
0,UHAL,270.5,-9.63,16.346,16.54839
0,AEP,81.39,-1.72,3.88,20.976803
0,AXP,88.32,-2.93,6.631,13.319258
0,AFL,36.62,-0.62,3.983,9.194075
0,AIG,23.9,-1.53,3.744,6.383547
0,UNM,16.5,-0.95,5.24,3.1488552
0,AVD,13.54,0.97,0.46,29.434782
0,AP,3.31,-0.43,-1.672,
0,AAL,10.64,-1.37,-1.697,
0,AXR,4.4,-0.44,-0.072,
0,ADI,103.64,-5.96,3.251,31.879423
0,APA,11.28,-1.8,-9.43,
0,APOG,19.54,-0.9,2.32,8.422415
0,SSI,0.5688,-0.0113,-3.332,
0,AMAT,46.89,-2.79,3.015,15.552238
0,ATU,19.18,-0.19,,
0,TREC,5.38,-0.52,-0.606,
0,ADM,35.12,-2.02,2.72,12.911764
0,SWN,2.74,-0.49,-2.317,
0,AWI,75.46,-1.62,-1.059,
0,ARW,62.39,-0.53,-3.587,
0,ARTW,1.89,-0.01,-0.291,
0,ASB,13.77,-0.37,1.684,8.17696
0,ATRO,8.82,-0.16,1.6,5.5125
0,ALOT,6.87,-0.16,0.24,28.625
0,AAME,1.73,-0.06,-0.04,
0,ADP,140.42,-6.27,5.827,24.098164
0,AVY,108.07,-2.32,6.883,15.701003
0,AVT,29.79,-0.23,-1.126,
0,AVP,5.6,-0.04,-0.115,
0,AZZ,29.59,-1.8,1.84,16.081522
0,BMI,57.14,-1.89,1.65,34.630302
0,BCPC,87.24,-2.0,2.48,35.177418
0,BLL,65.61,0.02,1.66,39.524097
0,B,36.51,-1.87,3.002,12.161891
0,BRN,0.6218,-0.0827,-0.994,
0,BSET,6.33,-0.51,-0.135,
0,BAX,87.84,-0.94,1.908,46.037735
0,BDX,251.87,-0.66,2.763,91.15816
0,WRB,51.45,-2.55,2.572,20.003887
0,BDL,13.7,-0.3,1.829,7.490432
0,BIO,431.79,-8.31,58.27,7.4101596
0,HRB,16.06,-0.59,2.038,7.8802743
0,BA,133.37,-7.65,-6.035,
0,BRID,17.63,-0.59,0.712,24.761234
